NOMBRE_EMPRESA,DIRECCION,TELEFONO
ASESORIA Y DESARROLLO DE PROYECTOS E INFRAESTRUCTURA PIRAMIDE S.A.,"CASA NO. 8 MANZANA ""N"" RESIDENCIALES SAN ANDRES, PRADOS DE VILLA HERMOSA SN. MIGUEL PETAPA GUATEMALA",54129903/24646967
CONSULTORIA Y ARQUITECTURA AMBIENTAL,"3RA. CALLE ""A"" 3-15, ZONA 10 GUATEMALA, GUATEMALA",59783493 / 23311770
SISTEMAS  AGRICOLAS E INDUSTRIALES,"KM 14.5 CARRETERA A EL SALVADOR, CENTRO EMPRESARIAL GRAN PLAZA OFIBODEGA 117, GUATEMALA",52056214      66341796
EQUIPO DE CONSULTORES PARA EL DESARROLLO SOSTENIBLE & ASOCIADOS S.A.,"8 CALLE 25-03, ZONA 3 QUETZALTENANGO",7763-6131 / 7761-6522
GRUPO SIERRA MADRE,"4 AVENIDA 19-26, ZONA 14, GUATEMALA, GUATEMALA",2381-5830    23815800
"AMBIENTE Y DESARROLLO DE CENTRO AMERICA, S.A.",4ª CALLE 12-20 ZONA 11 COLONIA ROOSEVELT MUNICIPIO DE GUATEMALA GUATEMALA,2475-2282//5205-9951
"NOA- GRUPO NATURALEZA ORGANIZACION Y AMBIENTE, S.A.","18 CALLE 24-69 ZONA 10, ZONA PRADERA OFICINA 1409, TORRE II CIUDAD GUATEMALA",22617308 / 09
"SISTEMAS AMBIENTALES, S.A.","18 ALLE ""B"" 31-49 ZONA 7 VILLA LINDA III,  EDIFICIO ""D"" OFICINA ,  102 GUATEMALA",52019579      24327531
"CORPORACION DE ASESORES Y CONSULTORES, SOCIEDAD ANONIMA -CORPASCO,S.A.-","2ª CALLE 15-11 ZONA 13 , GUATEMALA",23314752    23603060
INGENIERIA AGRICOLA AMBIENTAL Y FORESTAL -INAF- S.A.,"7A CALLE 18-31 ZONA 15, VISTA HERMOSA I, GUATEMALA",2365-7479
"BRENNTAG GUATEMALA, S.A.","23 AVE. 40-19, ZONA 12, GUATEMALA, GUATEMALA.",2423-7777  2423-7779
"SERVICIOS DE INGENIERIA MCM DE GUATEMALA, S.A.","14 CALLE 7-74 ZONA 9 , GUATEMALA, GUATEMALA.",2361-8874   2361-8898
"MARYVA, S.A.","21 CALLE 13-38 INTERIOR. 19-87 ZONA 11, HOGARES DE MARISCAL, GUATEMALA",30467186
"PRODUCTOS ESENCIALES, S.A","KM. 15.5 RUTA AL ATLANTICO LOTE 25 ZONA 18, LA AVENTURERA, GUATEMALA",22300586-22382082
"ALIANZA AMBIENTAL, S.A.","22 AVE.  ""A"" 5-47 COLONIAS VILLAS DE SAN JOSE III, ZONA 4 DE MIXCO, GUATEMALA.",5375-6690  2431-4536
DISCONSU,"LOTE 4 MANZANA ""A"" LAS HOJARASCAS ZONA 1 DE MIXCO", 2484-4330
PRIASA,2ª AVENIDA . B 13-68 ZONA 16 BOSQUES DE KANAJUYU,23653623 - 52067132
PROVESERSA (PROVEEDORA DE SERVICIOS AMBIENTALES E INDUSTRIALES S.A.),"14 AVENIDA 10-61 ZONA 18 RESIDENCIALES ATLANTIDA, GUATEMALA, GUATEMALA",2256-1465 / 5798-4292
"SISTEMAS Y DESARROLLO INTEGRAL, S.A.","EJE 04, CASA NO. 04 ALTOS DE VISTA HERMOSA IV, ZONA 16 GUATEMALA",22605177
"ARQUITECTURA E INGENIERIA, S.A. -ARKINSA-","RUTA 2, 3-63 ZONA 4, EDIFICIO CAMPUS TECNOLOGICO, OFICINA 102, GUATEMALA",23810831
"CONSULTORIA Y ARQUITECTURA AMBIENTLA, S.A.","2ª CALLE ""B"" 13-56 ZONA 15, COLONIA TECUN UMAN, GUATEMALA",23698874
"CONSULTORIA PARA EL DESARROLLO ECONOMICO, SOCIAL Y AMBIENTAL SA","12 CALLE EDIFICIO CASA VERANDA OFICINA 103 ,1-24 ZONA 10 GUATEMALA",23325978
"GEOLOGIA AMBIENTAL Y ECONOMICA, S.A.","MANZANA E, LOTE E-5 PAISAJE DE SNA CRISTOBAL 1, ZONA 8 DE MIXCO GUATEMALA",52013558
PROYECTA,"KM 32.5 CARRETERA AL PACIFICO BODEGAS ""LAS IGUANAS"" BODEGA NO. 4. AMATITLAN , GUATEMALA",56331634
"GEO SOCIALES CONSULTORES, S.A.","12 CALLE 9-57 ZONA 1, GUATEMALA, GUATEMALA",23602591
AIRE LIMPIO,"20 AVENIDA ""A"" 8-63 ZONA 11, COLONIA EL MIRADOR I, GUATEMALA",24781788
"CONSULTORES SOCIOAMBIENTALES MULTIDISCIPLINARIOS, S.A.","25 AVENIDA ""A"" 3-00 ZONA 15, CASA NO. 2, VISTA HERMOSA I, GUATEMALA",22219298
"CONSULTORES PARA EL DESARROLLO DE LOS RECURSOS NATURALES Y SERVICIOS MINEROS, S.A.","6ª AVENIDA 15-7 ZONA 13 AURORA 1, GUATEMALA",40275885
