AÑO,CODIGO_DEPARTAMENTO,DEPARTAMENTO,CODIGO_MUNICIPIO,MUNICIPIO,NIVEL,SECTOR,INSCRITOS,DOCENTES,RELACION_ALUMNO_DOCENTE
1993,9,Quetzaltenango,10,San Mateo,PRIMARIA DE NIÑOS,OFICIAL,397,0,
2001,8,Totonicapán,7,Santa Lucía La Reforma,PRIMARIA DE NIÑOS,OFICIAL,1439,0,
1995,12,San Marcos,16,Catarina,PRIMARIA DE NIÑOS,PRIVADO,147,0,
2014,21,Jalapa,7,Mataquescuintla,PRIMARIA DE NIÑOS,PRIVADO,309,41,7.536585
1993,7,Sololá,3,Santa María Visitación,PRIMARIA DE NIÑOS,OFICIAL,247,0,
2002,6,Santa Rosa,9,Taxisco,PRIMARIA DE NIÑOS,MUNICIPAL,43,0,
2002,15,Baja Verapaz,6,Santa Cruz El Chol,PRIMARIA DE NIÑOS,OFICIAL,1698,0,
2008,9,Quetzaltenango,17,Colomba Costa Cuca,PRIMARIA DE NIÑOS,PRIVADO,858,35,24.514285
2011,14,Quiché,20,Ixcán,PRIMARIA DE NIÑOS,OFICIAL,19823,687,28.854439
2012,22,Jutiapa,15,Pasaco,PRIMARIA DE NIÑOS,OFICIAL,1475,107,13.785046
2014,9,Quetzaltenango,13,Almolonga,PRIMARIA DE NIÑOS,OFICIAL,1336,62,21.548387
2002,11,Retalhuleu,1,Retalhuleu,PRIMARIA DE NIÑOS,PRIVADO,1665,0,
2001,15,Baja Verapaz,7,San Jerónimo,PRIMARIA DE NIÑOS,PRIVADO,39,0,
2002,16,Alta Verapaz,15,Fray Bartolomé De Las Casas,PRIMARIA DE NIÑOS,PRIVADO,162,0,
2007,3,Sacatepéquez,1,Antigua Guatemala,PRIMARIA DE NIÑOS,OFICIAL,5616,176,31.90909
2013,3,Sacatepéquez,2,Jocotenango,PRIMARIA DE NIÑOS,OFICIAL,1376,66,20.848484
1997,4,Chimaltenango,16,El Tejar,PRIMARIA DE NIÑOS,PRIVADO,97,0,
1998,11,Retalhuleu,6,San Andrés Villa Seca,PRIMARIA DE NIÑOS,PRIVADO,255,0,
1998,22,Jutiapa,9,El Adelanto,PRIMARIA DE NIÑOS,OFICIAL,799,0,
2002,20,Chiquimula,8,Concepción Las Minas,PRIMARIA DE NIÑOS,MUNICIPAL,52,0,
2006,20,Chiquimula,3,San Juan Ermita,PRIMARIA DE NIÑOS,PRIVADO,40,2,20
2004,16,Alta Verapaz,1,Cobán,PRIMARIA DE NIÑOS,PRIVADO,2093,105,19.933333
1998,1,Guatemala,13,Fraijanes,PRIMARIA DE NIÑOS,PRIVADO,228,0,
2007,15,Baja Verapaz,4,Cubulco,PRIMARIA DE NIÑOS,OFICIAL,9672,317,30.511041
1993,7,Sololá,18,San Pedro La Laguna,PRIMARIA DE NIÑOS,OFICIAL,801,0,
2003,13,Huehuetenango,6,San Pedro Necta,PRIMARIA DE NIÑOS,PRIVADO,209,7,29.857142
2006,4,Chimaltenango,8,San Miguel Pochuta,PRIMARIA DE NIÑOS,OFICIAL,1623,53,30.622641
2005,5,Escuintla,6,Tiquisate,PRIMARIA DE NIÑOS,PRIVADO,1007,41,24.560975
2008,11,Retalhuleu,8,Nuevo San Carlos,PRIMARIA DE NIÑOS,PRIVADO,137,7,19.571428
2012,13,Huehuetenango,19,Colotenango,PRIMARIA DE NIÑOS,OFICIAL,6370,226,28.18584
2007,20,Chiquimula,11,Ipala,PRIMARIA DE NIÑOS,OFICIAL,3383,155,21.825806
2007,7,Sololá,16,San Marcos La Laguna,PRIMARIA DE NIÑOS,OFICIAL,499,18,27.722222
2008,6,Santa Rosa,7,San Juan Tecuaco,PRIMARIA DE NIÑOS,MUNICIPAL,18,1,18
2009,15,Baja Verapaz,3,Rabinal,PRIMARIA DE NIÑOS,OFICIAL,8038,301,26.704318
2016,13,Huehuetenango,20,San Sebastián Huehuetenango,PRIMARIA DE NIÑOS,OFICIAL,5645,0,
1997,17,Petén,4,San Andrés,PRIMARIA DE NIÑOS,MUNICIPAL,140,0,
2000,10,Suchitepéquez,1,Mazatenango,PRIMARIA DE NIÑOS,PRIVADO,1967,0,
1999,14,Quiché,12,Joyabaj,PRIMARIA DE NIÑOS,OFICIAL,6636,0,
2012,9,Quetzaltenango,3,Olintepeque,PRIMARIA DE NIÑOS,PRIVADO,248,14,17.714285
2014,10,Suchitepéquez,19,Pueblo Nuevo,PRIMARIA DE NIÑOS,OFICIAL,1592,83,19.180722
2015,4,Chimaltenango,16,El Tejar,PRIMARIA DE NIÑOS,OFICIAL,2770,109,25.412844
1992,16,Alta Verapaz,13,Chisec,PRIMARIA DE NIÑOS,OFICIAL,2624,0,
1994,16,Alta Verapaz,13,Chisec,PRIMARIA DE NIÑOS,OFICIAL,3792,0,
2007,11,Retalhuleu,1,Retalhuleu,PRIMARIA DE NIÑOS,OFICIAL,12221,408,29.953431
2010,17,Petén,4,San Andrés,PRIMARIA DE NIÑOS,PRIVADO,285,10,28.5
2006,22,Jutiapa,5,Asunción Mita,PRIMARIA DE NIÑOS,PRIVADO,582,36,16.166666
1998,9,Quetzaltenango,20,Coatepeque,PRIMARIA DE NIÑOS,OFICIAL,14765,0,
2001,22,Jutiapa,12,Jalpatagua,PRIMARIA DE NIÑOS,PRIVADO,214,0,
2000,5,Escuintla,5,Masagua,PRIMARIA DE NIÑOS,OFICIAL,5466,0,
2004,14,Quiché,8,San Antonio Ilotenango,PRIMARIA DE NIÑOS,OFICIAL,3524,105,33.561904
2015,13,Huehuetenango,5,Nentón,PRIMARIA DE NIÑOS,OFICIAL,6953,264,26.337121
1993,10,Suchitepéquez,9,San Pablo Jocopilas,PRIMARIA DE NIÑOS,OFICIAL,2194,0,
1997,6,Santa Rosa,4,Casillas,PRIMARIA DE NIÑOS,OFICIAL,3085,0,
2001,16,Alta Verapaz,11,Lanquín,PRIMARIA DE NIÑOS,PRIVADO,26,0,
2006,5,Escuintla,10,Iztapa,PRIMARIA DE NIÑOS,PRIVADO,194,9,21.555555
2014,3,Sacatepéquez,6,Santiago Sacatepéquez,PRIMARIA DE NIÑOS,OFICIAL,3878,123,31.528455
1995,3,Sacatepéquez,9,Santa Lucía Milpas Altas,PRIMARIA DE NIÑOS,OFICIAL,1126,0,
1995,9,Quetzaltenango,22,Flores Costa Cuca,PRIMARIA DE NIÑOS,OFICIAL,2623,0,
2010,5,Escuintla,5,Masagua,PRIMARIA DE NIÑOS,PRIVADO,303,22,13.772727
1993,11,Retalhuleu,3,Santa Cruz Muluá,PRIMARIA DE NIÑOS,OFICIAL,1616,0,
1995,11,Retalhuleu,9,El Asintal,PRIMARIA DE NIÑOS,OFICIAL,3891,0,
2002,20,Chiquimula,10,San Jacinto,PRIMARIA DE NIÑOS,PRIVADO,50,0,
2002,7,Sololá,8,Concepción,PRIMARIA DE NIÑOS,OFICIAL,573,0,
2006,22,Jutiapa,14,Moyuta,PRIMARIA DE NIÑOS,OFICIAL,8266,229,36.096069
2011,9,Quetzaltenango,17,Colomba Costa Cuca,PRIMARIA DE NIÑOS,OFICIAL,8661,311,27.848874
1995,12,San Marcos,23,Ixchiguán,PRIMARIA DE NIÑOS,OFICIAL,3208,0,
2004,18,Izabal,5,Los Amates,PRIMARIA DE NIÑOS,OFICIAL,11339,369,30.728997
2000,14,Quiché,21,Pachalúm,PRIMARIA DE NIÑOS,OFICIAL,1443,0,
1999,13,Huehuetenango,15,Todos Santos Cuchumatán,PRIMARIA DE NIÑOS,OFICIAL,3664,0,
2005,22,Jutiapa,14,Moyuta,PRIMARIA DE NIÑOS,MUNICIPAL,38,2,19
2008,4,Chimaltenango,4,San Juan Comalapa,PRIMARIA DE NIÑOS,OFICIAL,6350,206,30.825242
2008,14,Quiché,21,Pachalúm,PRIMARIA DE NIÑOS,PRIVADO,49,3,16.333333
2014,7,Sololá,15,San Pablo La Laguna,PRIMARIA DE NIÑOS,OFICIAL,1031,60,17.183333
1999,5,Escuintla,7,La Gomera,PRIMARIA DE NIÑOS,OFICIAL,6081,0,
2016,17,Petén,12,Poptún,PRIMARIA DE NIÑOS,PRIVADO,507,0,
1995,4,Chimaltenango,4,San Juan Comalapa,PRIMARIA DE NIÑOS,OFICIAL,4059,0,
2000,4,Chimaltenango,14,Parramos,PRIMARIA DE NIÑOS,PRIVADO,518,0,
2006,11,Retalhuleu,4,San Martín Zapotitlán,PRIMARIA DE NIÑOS,OFICIAL,1848,59,31.322033
2012,9,Quetzaltenango,6,Cabricán,PRIMARIA DE NIÑOS,OFICIAL,4854,211,23.004739
1993,22,Jutiapa,5,Asunción Mita,PRIMARIA DE NIÑOS,PRIVADO,350,0,
1993,20,Chiquimula,7,Esquipulas,PRIMARIA DE NIÑOS,OFICIAL,3940,0,
1996,14,Quiché,1,Santa Cruz Del Quiché,PRIMARIA DE NIÑOS,OFICIAL,7383,0,
1997,15,Baja Verapaz,1,Salamá,PRIMARIA DE NIÑOS,OFICIAL,6824,0,
2003,22,Jutiapa,8,Jeréz,PRIMARIA DE NIÑOS,OFICIAL,1038,33,31.454545
2008,10,Suchitepéquez,2,Cuyotenango,PRIMARIA DE NIÑOS,PRIVADO,316,28,11.285714
2013,3,Sacatepéquez,8,San Lucas Sacatepéquez,PRIMARIA DE NIÑOS,OFICIAL,2599,104,24.990384
2012,18,Izabal,3,El Estor,PRIMARIA DE NIÑOS,PRIVADO,256,15,17.066666
2016,19,Zacapa,7,Cabañas,PRIMARIA DE NIÑOS,OFICIAL,1981,0,
1993,14,Quiché,10,Cunén,PRIMARIA DE NIÑOS,OFICIAL,2479,0,
1996,4,Chimaltenango,12,San Pedro Yepocapa,PRIMARIA DE NIÑOS,PRIVADO,476,0,
2003,14,Quiché,14,San Andrés Sajcabajá,PRIMARIA DE NIÑOS,OFICIAL,3619,102,35.480392
2006,10,Suchitepéquez,18,Zunilito,PRIMARIA DE NIÑOS,OFICIAL,1299,53,24.509433
2011,9,Quetzaltenango,21,Génova Costa Cuca,PRIMARIA DE NIÑOS,OFICIAL,8185,357,22.92717
2004,13,Huehuetenango,2,Chiantla,PRIMARIA DE NIÑOS,PRIVADO,212,11,19.272727
2011,11,Retalhuleu,7,Champerico,PRIMARIA DE NIÑOS,PRIVADO,399,27,14.777777
2016,7,Sololá,18,San Pedro La Laguna,PRIMARIA DE NIÑOS,PRIVADO,282,0,
1997,12,San Marcos,29,San Lorenzo,PRIMARIA DE NIÑOS,OFICIAL,1758,0,
2006,6,Santa Rosa,6,Oratorio,PRIMARIA DE NIÑOS,PRIVADO,115,7,16.428571
2015,8,Totonicapán,4,San Andrés Xecul,PRIMARIA DE NIÑOS,OFICIAL,4431,194,22.840206
2002,2,El Progreso,7,Sanarate,PRIMARIA DE NIÑOS,PRIVADO,959,0,
2003,7,Sololá,4,Santa Lucía Utatlán,PRIMARIA DE NIÑOS,PRIVADO,115,6,19.166666
2004,5,Escuintla,12,San Vicente Pacaya,PRIMARIA DE NIÑOS,OFICIAL,2323,84,27.654761
2005,3,Sacatepéquez,15,San Antonio Aguas Calientes,PRIMARIA DE NIÑOS,OFICIAL,858,24,35.75
2011,20,Chiquimula,8,Concepción Las Minas,PRIMARIA DE NIÑOS,PRIVADO,49,7,7
2014,12,San Marcos,14,San José El Rodeo,PRIMARIA DE NIÑOS,OFICIAL,2768,122,22.688524
2016,18,Izabal,1,Puerto Barrios,PRIMARIA DE NIÑOS,OFICIAL,12219,0,
2001,1,Guatemala,14,Amatitlán,PRIMARIA DE NIÑOS,OFICIAL,12296,0,
1996,21,Jalapa,5,San Carlos Alzatate,PRIMARIA DE NIÑOS,OFICIAL,1301,0,
1997,18,Izabal,4,Morales,PRIMARIA DE NIÑOS,PRIVADO,1920,0,
2000,22,Jutiapa,2,El Progreso,PRIMARIA DE NIÑOS,PRIVADO,502,0,
2001,1,Guatemala,7,San Pedro Ayampuc,PRIMARIA DE NIÑOS,OFICIAL,5325,0,
2015,11,Retalhuleu,2,San Sebastián,PRIMARIA DE NIÑOS,OFICIAL,3878,207,18.734299
2005,3,Sacatepéquez,1,Antigua Guatemala,PRIMARIA DE NIÑOS,OFICIAL,5708,181,31.535911
2014,4,Chimaltenango,11,Acatenango,PRIMARIA DE NIÑOS,PRIVADO,229,19,12.052631
1993,20,Chiquimula,6,Olopa,PRIMARIA DE NIÑOS,OFICIAL,1348,0,
1999,13,Huehuetenango,13,San Miguel Acatán,PRIMARIA DE NIÑOS,OFICIAL,2167,0,
2007,6,Santa Rosa,14,Nueva Santa Rosa,PRIMARIA DE NIÑOS,OFICIAL,6002,164,36.59756
1996,9,Quetzaltenango,8,San Miguel Siguilá,PRIMARIA DE NIÑOS,OFICIAL,842,0,
1999,4,Chimaltenango,8,San Miguel Pochuta,PRIMARIA DE NIÑOS,PRIVADO,519,0,
2001,16,Alta Verapaz,8,Senahú,PRIMARIA DE NIÑOS,PRIVADO,1164,0,
2011,22,Jutiapa,5,Asunción Mita,PRIMARIA DE NIÑOS,OFICIAL,6665,315,21.15873
2015,3,Sacatepéquez,10,Magdalena Milpas Altas,PRIMARIA DE NIÑOS,OFICIAL,1547,64,24.171875
1992,22,Jutiapa,4,Agua Blanca,PRIMARIA DE NIÑOS,OFICIAL,2582,0,
2007,14,Quiché,7,Patzité,PRIMARIA DE NIÑOS,OFICIAL,1164,38,30.631578
1993,8,Totonicapán,3,San Francisco El Alto,PRIMARIA DE NIÑOS,OFICIAL,5003,0,
1995,12,San Marcos,9,Tajumulco,PRIMARIA DE NIÑOS,OFICIAL,4477,0,
1999,8,Totonicapán,7,Santa Lucía La Reforma,PRIMARIA DE NIÑOS,OFICIAL,1216,0,
2011,10,Suchitepéquez,16,San Juan Bautista,PRIMARIA DE NIÑOS,OFICIAL,1330,39,34.102564
2009,8,Totonicapán,7,Santa Lucía La Reforma,PRIMARIA DE NIÑOS,PRIVADO,591,19,31.105263
2015,18,Izabal,1,Puerto Barrios,PRIMARIA DE NIÑOS,PRIVADO,2045,202,10.123762
1994,5,Escuintla,13,Nueva Concepción,PRIMARIA DE NIÑOS,PRIVADO,1357,0,
1999,5,Escuintla,12,San Vicente Pacaya,PRIMARIA DE NIÑOS,PRIVADO,36,0,
2009,10,Suchitepéquez,15,Santa Bárbara,PRIMARIA DE NIÑOS,PRIVADO,108,4,27
2010,7,Sololá,14,Santa Cruz La Laguna,PRIMARIA DE NIÑOS,OFICIAL,1236,55,22.472727
2010,5,Escuintla,2,Santa Lucía Cotzumalguapa,PRIMARIA DE NIÑOS,MUNICIPAL,52,3,17.333333
2016,15,Baja Verapaz,8,Purulhá,PRIMARIA DE NIÑOS,OFICIAL,9380,0,
1993,22,Jutiapa,12,Jalpatagua,PRIMARIA DE NIÑOS,OFICIAL,3692,0,
2005,11,Retalhuleu,4,San Martín Zapotitlán,PRIMARIA DE NIÑOS,MUNICIPAL,35,1,35
1994,4,Chimaltenango,6,Tecpán Guatemala,PRIMARIA DE NIÑOS,OFICIAL,5764,0,
2014,19,Zacapa,9,La Unión,PRIMARIA DE NIÑOS,PRIVADO,64,7,9.142857
2000,3,Sacatepéquez,1,Antigua Guatemala,PRIMARIA DE NIÑOS,PRIVADO,2937,0,
2010,22,Jutiapa,15,Pasaco,PRIMARIA DE NIÑOS,OFICIAL,1706,97,17.587628
2001,12,San Marcos,11,San Rafael Pié De La Cuesta,PRIMARIA DE NIÑOS,PRIVADO,94,0,
2004,14,Quiché,2,Chiché,PRIMARIA DE NIÑOS,OFICIAL,3966,127,31.228346
2016,16,Alta Verapaz,12,Santa María Cahabón,PRIMARIA DE NIÑOS,OFICIAL,11864,0,
2009,7,Sololá,1,Sololá,PRIMARIA DE NIÑOS,OFICIAL,17242,605,28.499173
2008,13,Huehuetenango,13,San Miguel Acatán,PRIMARIA DE NIÑOS,OFICIAL,4818,149,32.33557
1994,14,Quiché,14,San Andrés Sajcabajá,PRIMARIA DE NIÑOS,OFICIAL,1612,0,
1997,6,Santa Rosa,2,Barberena,PRIMARIA DE NIÑOS,OFICIAL,4499,0,
2007,14,Quiché,12,Joyabaj,PRIMARIA DE NIÑOS,PRIVADO,242,10,24.2
1993,7,Sololá,5,Nahualá,PRIMARIA DE NIÑOS,OFICIAL,5420,0,
2000,17,Petén,8,Dolores,PRIMARIA DE NIÑOS,OFICIAL,6979,0,
2010,12,San Marcos,25,San Cristóbal Cucho,PRIMARIA DE NIÑOS,OFICIAL,3283,129,25.449612
2009,20,Chiquimula,5,Camotán,PRIMARIA DE NIÑOS,OFICIAL,9412,351,26.814814
1994,12,San Marcos,19,San Pablo,PRIMARIA DE NIÑOS,OFICIAL,4502,0,
2005,1,Guatemala,13,Fraijanes,PRIMARIA DE NIÑOS,OFICIAL,4269,121,35.280991
2007,6,Santa Rosa,2,Barberena,PRIMARIA DE NIÑOS,PRIVADO,895,41,21.829268
2014,1,Guatemala,11,San Raymundo,PRIMARIA DE NIÑOS,PRIVADO,746,61,12.229508
2002,12,San Marcos,1,San Marcos,PRIMARIA DE NIÑOS,PRIVADO,818,0,
2002,8,Totonicapán,1,Totonicapán,PRIMARIA DE NIÑOS,PRIVADO,1211,0,
2007,2,El Progreso,1,Guastatoya,PRIMARIA DE NIÑOS,OFICIAL,2961,99,29.90909
2012,6,Santa Rosa,1,Cuilapa,PRIMARIA DE NIÑOS,PRIVADO,740,33,22.424242
1992,7,Sololá,7,Santa Clara La Laguna,PRIMARIA DE NIÑOS,OFICIAL,717,0,
1997,13,Huehuetenango,15,Todos Santos Cuchumatán,PRIMARIA DE NIÑOS,OFICIAL,2828,0,
2002,4,Chimaltenango,7,Patzún,PRIMARIA DE NIÑOS,PRIVADO,2307,0,
2004,4,Chimaltenango,13,San Andrés Iztapa,PRIMARIA DE NIÑOS,PRIVADO,1121,56,20.017857
2013,9,Quetzaltenango,2,Salcajá,PRIMARIA DE NIÑOS,OFICIAL,2554,115,22.208695
2000,8,Totonicapán,1,Totonicapán,PRIMARIA DE NIÑOS,PRIVADO,1259,0,
2007,21,Jalapa,3,San Luis Jilotepéque,PRIMARIA DE NIÑOS,OFICIAL,4016,155,25.909677
1994,4,Chimaltenango,3,San Martin Jilotepeque,PRIMARIA DE NIÑOS,PRIVADO,446,0,
1997,3,Sacatepéquez,14,San Juan Alotenango,PRIMARIA DE NIÑOS,OFICIAL,1465,0,
1999,9,Quetzaltenango,22,Flores Costa Cuca,PRIMARIA DE NIÑOS,PRIVADO,34,0,
2000,7,Sololá,8,Concepción,PRIMARIA DE NIÑOS,OFICIAL,444,0,
1999,16,Alta Verapaz,5,Tamahú,PRIMARIA DE NIÑOS,OFICIAL,1232,0,
2002,7,Sololá,10,Panajachel,PRIMARIA DE NIÑOS,OFICIAL,1558,0,
2011,10,Suchitepéquez,13,Chicacao,PRIMARIA DE NIÑOS,PRIVADO,720,33,21.818181
2016,3,Sacatepéquez,4,Sumpango,PRIMARIA DE NIÑOS,PRIVADO,1154,0,
1997,16,Alta Verapaz,11,Lanquín,PRIMARIA DE NIÑOS,OFICIAL,1726,0,
2000,4,Chimaltenango,13,San Andrés Iztapa,PRIMARIA DE NIÑOS,MUNICIPAL,28,0,
2000,1,Guatemala,8,Mixco,PRIMARIA DE NIÑOS,OFICIAL,31539,0,
2002,5,Escuintla,5,Masagua,PRIMARIA DE NIÑOS,OFICIAL,5815,0,
2006,14,Quiché,21,Pachalúm,PRIMARIA DE NIÑOS,MUNICIPAL,73,3,24.333333
1999,6,Santa Rosa,4,Casillas,PRIMARIA DE NIÑOS,OFICIAL,3122,0,
2013,7,Sololá,19,Santiago Atitlán,PRIMARIA DE NIÑOS,PRIVADO,713,37,19.27027
1993,20,Chiquimula,11,Ipala,PRIMARIA DE NIÑOS,MUNICIPAL,181,0,
1994,20,Chiquimula,10,San Jacinto,PRIMARIA DE NIÑOS,OFICIAL,1116,0,
2003,14,Quiché,6,Santo Tomás Chichicastenango,PRIMARIA DE NIÑOS,OFICIAL,18353,495,37.076767
2009,2,El Progreso,1,Guastatoya,PRIMARIA DE NIÑOS,OFICIAL,3139,122,25.729508
2016,6,Santa Rosa,8,Chiquimulilla,PRIMARIA DE NIÑOS,MUNICIPAL,117,0,
2001,5,Escuintla,7,La Gomera,PRIMARIA DE NIÑOS,OFICIAL,7220,0,
2002,14,Quiché,13,Nebaj,PRIMARIA DE NIÑOS,PRIVADO,200,0,
2006,14,Quiché,1,Santa Cruz Del Quiché,PRIMARIA DE NIÑOS,PRIVADO,1592,55,28.945454
2006,10,Suchitepéquez,10,San Antonio Suchitepéquez,PRIMARIA DE NIÑOS,PRIVADO,601,25,24.04
2011,8,Totonicapán,1,Totonicapán,PRIMARIA DE NIÑOS,PRIVADO,1535,84,18.273809
1997,10,Suchitepéquez,10,San Antonio Suchitepéquez,PRIMARIA DE NIÑOS,PRIVADO,886,0,
2010,13,Huehuetenango,27,Aguacatán,PRIMARIA DE NIÑOS,OFICIAL,10746,401,26.798004
2006,5,Escuintla,3,La Democracia,PRIMARIA DE NIÑOS,PRIVADO,271,10,27.1
2008,7,Sololá,4,Santa Lucía Utatlán,PRIMARIA DE NIÑOS,OFICIAL,3914,150,26.093333
2007,5,Escuintla,6,Tiquisate,PRIMARIA DE NIÑOS,MUNICIPAL,98,3,32.666666
2004,13,Huehuetenango,18,San Mateo Ixtatán,PRIMARIA DE NIÑOS,OFICIAL,6205,175,35.457142
2005,14,Quiché,14,San Andrés Sajcabajá,PRIMARIA DE NIÑOS,OFICIAL,4243,107,39.654205
2011,5,Escuintla,1,Escuintla,PRIMARIA DE NIÑOS,PRIVADO,4640,284,16.338028
2015,6,Santa Rosa,9,Taxisco,PRIMARIA DE NIÑOS,PRIVADO,177,18,9.833333
2015,19,Zacapa,5,Teculután,PRIMARIA DE NIÑOS,OFICIAL,2467,116,21.267241
2015,1,Guatemala,11,San Raymundo,PRIMARIA DE NIÑOS,OFICIAL,4416,196,22.530612
2016,1,Guatemala,3,San José Pinula,PRIMARIA DE NIÑOS,PRIVADO,2572,0,
2016,12,San Marcos,7,Tacaná,PRIMARIA DE NIÑOS,OFICIAL,14358,0,
1994,3,Sacatepéquez,9,Santa Lucía Milpas Altas,PRIMARIA DE NIÑOS,PRIVADO,78,0,
1994,9,Quetzaltenango,23,La Esperanza,PRIMARIA DE NIÑOS,PRIVADO,147,0,
1999,11,Retalhuleu,8,Nuevo San Carlos,PRIMARIA DE NIÑOS,PRIVADO,328,0,
2000,6,Santa Rosa,7,San Juan Tecuaco,PRIMARIA DE NIÑOS,OFICIAL,1688,0,
2000,3,Sacatepéquez,7,San Bartolomé Milpas Altas,PRIMARIA DE NIÑOS,PRIVADO,201,0,
2012,16,Alta Verapaz,8,Senahú,PRIMARIA DE NIÑOS,PRIVADO,20,1,20
1992,16,Alta Verapaz,4,Tactic,PRIMARIA DE NIÑOS,PRIVADO,373,0,
1998,3,Sacatepéquez,14,San Juan Alotenango,PRIMARIA DE NIÑOS,PRIVADO,421,0,
1992,1,Guatemala,1,Guatemala,PRIMARIA DE NIÑOS,OFICIAL,87981,0,
1995,22,Jutiapa,5,Asunción Mita,PRIMARIA DE NIÑOS,PRIVADO,363,0,
1995,20,Chiquimula,5,Camotán,PRIMARIA DE NIÑOS,MUNICIPAL,67,0,
1998,14,Quiché,1,Santa Cruz Del Quiché,PRIMARIA DE NIÑOS,OFICIAL,8124,0,
2012,1,Guatemala,5,Palencia,PRIMARIA DE NIÑOS,OFICIAL,9112,321,28.386292
2014,19,Zacapa,7,Cabañas,PRIMARIA DE NIÑOS,OFICIAL,2086,115,18.13913
1992,7,Sololá,1,Sololá,PRIMARIA DE NIÑOS,OFICIAL,7569,0,
1992,21,Jalapa,7,Mataquescuintla,PRIMARIA DE NIÑOS,MUNICIPAL,0,0,
2003,7,Sololá,7,Santa Clara La Laguna,PRIMARIA DE NIÑOS,OFICIAL,1390,46,30.217391
2007,4,Chimaltenango,4,San Juan Comalapa,PRIMARIA DE NIÑOS,PRIVADO,726,37,19.621621
2006,20,Chiquimula,9,Quezaltepéque,PRIMARIA DE NIÑOS,PRIVADO,294,18,16.333333
2009,12,San Marcos,21,La Reforma,PRIMARIA DE NIÑOS,OFICIAL,3951,123,32.121951
2009,15,Baja Verapaz,5,Granados,PRIMARIA DE NIÑOS,OFICIAL,2692,145,18.565517
2012,14,Quiché,9,San Pedro Jocopilas,PRIMARIA DE NIÑOS,OFICIAL,5882,231,25.463203
2010,13,Huehuetenango,6,San Pedro Necta,PRIMARIA DE NIÑOS,OFICIAL,6744,260,25.938461
1999,14,Quiché,11,San Juan Cotzal,PRIMARIA DE NIÑOS,PRIVADO,219,0,
1999,18,Izabal,4,Morales,PRIMARIA DE NIÑOS,PRIVADO,1670,0,
2003,1,Guatemala,7,San Pedro Ayampuc,PRIMARIA DE NIÑOS,OFICIAL,6561,163,40.251533
2003,17,Petén,5,La Libertad,PRIMARIA DE NIÑOS,PRIVADO,359,13,27.615384
2004,13,Huehuetenango,14,San Rafael La Independencia,PRIMARIA DE NIÑOS,OFICIAL,2448,61,40.131147
2007,17,Petén,8,Dolores,PRIMARIA DE NIÑOS,OFICIAL,9055,303,29.884488
2010,7,Sololá,12,San Antonio Palopó,PRIMARIA DE NIÑOS,OFICIAL,2745,113,24.292035
2016,5,Escuintla,6,Tiquisate,PRIMARIA DE NIÑOS,PRIVADO,929,0,
1994,10,Suchitepéquez,1,Mazatenango,PRIMARIA DE NIÑOS,OFICIAL,8077,0,
2005,9,Quetzaltenango,16,Zunil,PRIMARIA DE NIÑOS,OFICIAL,2252,67,33.61194
2014,1,Guatemala,8,Mixco,PRIMARIA DE NIÑOS,PRIVADO,25526,1943,13.137416
1992,15,Baja Verapaz,7,San Jerónimo,PRIMARIA DE NIÑOS,PRIVADO,55,0,
1993,5,Escuintla,13,Nueva Concepción,PRIMARIA DE NIÑOS,OFICIAL,10085,0,
1993,16,Alta Verapaz,7,Panzós,PRIMARIA DE NIÑOS,PRIVADO,849,0,
2005,21,Jalapa,7,Mataquescuintla,PRIMARIA DE NIÑOS,PRIVADO,275,18,15.277777
2007,5,Escuintla,1,Escuintla,PRIMARIA DE NIÑOS,PRIVADO,5036,223,22.582959
2006,15,Baja Verapaz,4,Cubulco,PRIMARIA DE NIÑOS,PRIVADO,219,8,27.375
1996,10,Suchitepéquez,19,Pueblo Nuevo,PRIMARIA DE NIÑOS,PRIVADO,26,0,
1999,10,Suchitepéquez,15,Santa Bárbara,PRIMARIA DE NIÑOS,OFICIAL,1981,0,
2010,1,Guatemala,10,San Juan Sacatepéquez,PRIMARIA DE NIÑOS,PRIVADO,3542,215,16.474418
2013,17,Petén,5,La Libertad,PRIMARIA DE NIÑOS,OFICIAL,20073,815,24.629447
2012,21,Jalapa,1,Jalapa,PRIMARIA DE NIÑOS,OFICIAL,27860,1022,27.260273
1994,6,Santa Rosa,6,Oratorio,PRIMARIA DE NIÑOS,OFICIAL,2957,0,
2007,22,Jutiapa,10,Zapotitlán,PRIMARIA DE NIÑOS,OFICIAL,1764,59,29.898305
1993,10,Suchitepéquez,18,Zunilito,PRIMARIA DE NIÑOS,OFICIAL,723,0,
1997,20,Chiquimula,3,San Juan Ermita,PRIMARIA DE NIÑOS,MUNICIPAL,191,0,
1996,13,Huehuetenango,26,Santa Cruz Barillas,PRIMARIA DE NIÑOS,PRIVADO,1339,0,
2005,6,Santa Rosa,8,Chiquimulilla,PRIMARIA DE NIÑOS,MUNICIPAL,323,13,24.846153
2008,10,Suchitepéquez,4,San Bernardino,PRIMARIA DE NIÑOS,PRIVADO,52,3,17.333333
2011,14,Quiché,19,Chicamán,PRIMARIA DE NIÑOS,OFICIAL,7634,267,28.59176
1995,12,San Marcos,10,Tejutla,PRIMARIA DE NIÑOS,OFICIAL,5103,0,
