AÑO,CODIGO_DEPARTAMENTO,DEPARTAMENTO,CODIGO_MUNICIPIO,MUNICIPIO,NIVEL,SECTOR,INSCRITOS,DOCENTES,RELACION_ALUMNO_DOCENTE
2003,18,Izabal,2,Livingston,PRIMARIA DE NIÑOS,MUNICIPAL,297,7,42.428571
1994,9,Quetzaltenango,16,Zunil,PRIMARIA DE NIÑOS,OFICIAL,1181,0,
2003,16,Alta Verapaz,16,La Tinta,PRIMARIA DE NIÑOS,PRIVADO,387,15,25.8
1997,9,Quetzaltenango,1,Quetzaltenango,PRIMARIA DE NIÑOS,OFICIAL,14782,0,
2004,6,Santa Rosa,7,San Juan Tecuaco,PRIMARIA DE NIÑOS,OFICIAL,1984,63,31.492063
2005,11,Retalhuleu,7,Champerico,PRIMARIA DE NIÑOS,PRIVADO,507,27,18.777777
2004,20,Chiquimula,9,Quezaltepéque,PRIMARIA DE NIÑOS,OFICIAL,4782,192,24.90625
2003,9,Quetzaltenango,2,Salcajá,PRIMARIA DE NIÑOS,PRIVADO,421,34,12.382352
2008,3,Sacatepéquez,2,Jocotenango,PRIMARIA DE NIÑOS,OFICIAL,1501,50,30.02
2014,2,El Progreso,3,San Agustin Acasaguastlán,PRIMARIA DE NIÑOS,OFICIAL,7542,300,25.14
2002,13,Huehuetenango,1,Huehuetenango,PRIMARIA DE NIÑOS,PRIVADO,2510,0,
2004,8,Totonicapán,7,Santa Lucía La Reforma,PRIMARIA DE NIÑOS,PRIVADO,429,17,25.235294
2005,4,Chimaltenango,5,Santa Apolonia,PRIMARIA DE NIÑOS,OFICIAL,2183,93,23.473118
2006,12,San Marcos,11,San Rafael Pié De La Cuesta,PRIMARIA DE NIÑOS,PRIVADO,79,4,19.75
2009,13,Huehuetenango,30,Santiago Chimaltenango,PRIMARIA DE NIÑOS,PRIVADO,13,2,6.5
2013,11,Retalhuleu,4,San Martín Zapotitlán,PRIMARIA DE NIÑOS,OFICIAL,1682,103,16.330097
2005,5,Escuintla,7,La Gomera,PRIMARIA DE NIÑOS,OFICIAL,8496,258,32.930232
2011,13,Huehuetenango,30,Santiago Chimaltenango,PRIMARIA DE NIÑOS,OFICIAL,1977,81,24.407407
2010,3,Sacatepéquez,10,Magdalena Milpas Altas,PRIMARIA DE NIÑOS,OFICIAL,1743,53,32.886792
1993,13,Huehuetenango,15,Todos Santos Cuchumatán,PRIMARIA DE NIÑOS,OFICIAL,2195,0,
1999,17,Petén,9,San Luis,PRIMARIA DE NIÑOS,OFICIAL,12004,0,
2016,17,Petén,11,Melchor De Mencos,PRIMARIA DE NIÑOS,PRIVADO,99,0,
1994,13,Huehuetenango,4,Cuilco,PRIMARIA DE NIÑOS,OFICIAL,5784,0,
2001,5,Escuintla,2,Santa Lucía Cotzumalguapa,PRIMARIA DE NIÑOS,OFICIAL,11520,0,
1998,15,Baja Verapaz,1,Salamá,PRIMARIA DE NIÑOS,PRIVADO,439,0,
2003,4,Chimaltenango,3,San Martin Jilotepeque,PRIMARIA DE NIÑOS,OFICIAL,12205,391,31.214833
2012,20,Chiquimula,10,San Jacinto,PRIMARIA DE NIÑOS,OFICIAL,2054,113,18.176991
1996,10,Suchitepéquez,15,Santa Bárbara,PRIMARIA DE NIÑOS,OFICIAL,1146,0,
2002,22,Jutiapa,13,Conguaco,PRIMARIA DE NIÑOS,MUNICIPAL,95,0,
2006,8,Totonicapán,8,San Bartolo Aguas Calientes,PRIMARIA DE NIÑOS,OFICIAL,2306,77,29.948051
2008,14,Quiché,15,San Miguel Uspantán,PRIMARIA DE NIÑOS,PRIVADO,129,9,14.333333
2014,3,Sacatepéquez,5,Santo Domingo Xenacoj,PRIMARIA DE NIÑOS,OFICIAL,1537,65,23.646153
2006,10,Suchitepéquez,10,San Antonio Suchitepéquez,PRIMARIA DE NIÑOS,OFICIAL,7698,233,33.038626
1994,17,Petén,4,San Andrés,PRIMARIA DE NIÑOS,OFICIAL,1482,0,
2007,11,Retalhuleu,1,Retalhuleu,PRIMARIA DE NIÑOS,PRIVADO,2103,116,18.12931
2010,7,Sololá,2,San José Chacayá,PRIMARIA DE NIÑOS,OFICIAL,770,27,28.518518
1998,21,Jalapa,6,Monjas,PRIMARIA DE NIÑOS,OFICIAL,3895,0,
2010,11,Retalhuleu,2,San Sebastián,PRIMARIA DE NIÑOS,OFICIAL,4569,172,26.563953
2009,4,Chimaltenango,16,El Tejar,PRIMARIA DE NIÑOS,OFICIAL,2960,93,31.827956
2012,9,Quetzaltenango,1,Quetzaltenango,PRIMARIA DE NIÑOS,OFICIAL,19656,714,27.529411
2014,9,Quetzaltenango,9,San Juan Ostuncalco,PRIMARIA DE NIÑOS,OFICIAL,8611,419,20.551312
1995,16,Alta Verapaz,4,Tactic,PRIMARIA DE NIÑOS,PRIVADO,442,0,
1997,15,Baja Verapaz,2,San Miguel Chicaj,PRIMARIA DE NIÑOS,OFICIAL,3404,0,
2004,16,Alta Verapaz,12,Santa María Cahabón,PRIMARIA DE NIÑOS,PRIVADO,76,6,12.666666
1998,16,Alta Verapaz,13,Chisec,PRIMARIA DE NIÑOS,OFICIAL,9096,0,
2013,17,Petén,12,Poptún,PRIMARIA DE NIÑOS,OFICIAL,9614,540,17.803703
1997,2,El Progreso,1,Guastatoya,PRIMARIA DE NIÑOS,PRIVADO,440,0,
1999,13,Huehuetenango,2,Chiantla,PRIMARIA DE NIÑOS,PRIVADO,213,0,
2007,9,Quetzaltenango,10,San Mateo,PRIMARIA DE NIÑOS,OFICIAL,896,31,28.903225
2011,12,San Marcos,26,Sipacapa,PRIMARIA DE NIÑOS,OFICIAL,4463,158,28.246835
1994,10,Suchitepéquez,15,Santa Bárbara,PRIMARIA DE NIÑOS,PRIVADO,1017,0,
2006,13,Huehuetenango,24,San Antonio Huista,PRIMARIA DE NIÑOS,OFICIAL,2416,98,24.653061
2003,12,San Marcos,9,Tajumulco,PRIMARIA DE NIÑOS,OFICIAL,10229,314,32.576433
2014,10,Suchitepéquez,9,San Pablo Jocopilas,PRIMARIA DE NIÑOS,OFICIAL,3026,144,21.013888
2015,10,Suchitepéquez,16,San Juan Bautista,PRIMARIA DE NIÑOS,OFICIAL,1212,44,27.545454
